3.9,ntu,"Rlaszkr nc nzlu kc , xlrbzkr mz nibrgr nc nzlu kc yrpupe bzprlzpem mz noude . ",rlasz -=kr	nc	nzlu	kc		xlr -bz -=kr	mz	nibr -=gr	nc	nzlu	kc	yrpu -=pe	bz pr -lz -=pe -mq	mz	nou -=de		,"rlasz -=kr	nc	nzlu	kc	,	xlr -bz -=kr	mz	nibr -=gr	nc	nzlu	kc	yrpu -=pe	bz pr -lz -=pe -mq	mz	nou -=de	.	","leave -=1augᵢ	tree	coconut	which	,	hear Pdir.thither -=1augᵢ	PREP	back.part -=1augᵢᵢ	tree	coconut	which	bang.against -=INCH*	die crack Gdir.up -=INCH* Pdir.hither	PREP	base -=3minᵢᵢ	.	",We left the coconut tree (and) we heard behind us that coconut tree bang (and) die cracking up from its base. ,~~~,ML ID,No comment,SGM 28,V Nom1	N	N	RPRN	punct	V V:(PDIR) Nom1	PREP	N A-D-P2	N	N	RPRN	V V	V V V:(GDIR) V V:(PDIR)	PREP	N A-D-P2	punct	,~~~ N N RPRN punct ~~~ PREP ~~~ N N RPRN ~~~ ~~~ PREP ~~~ punct ,~~~ ~~~	~~~	~~~	~~~		~~~ ~~~ ~~~	~~~	~~~ ~~~	~~~	~~~	~~~	~~~ ~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~ ~~~		
3.10,ntu,"Sc tqrpipex kx , “ Eke !” ",sc-	tq- r- pi -=pe -=x	kx			eke		,"sc-	tq- r- pi -=pe -=x	kx	,	“	eke	!”	","PFV	RL DETR say -=INCH* -=1minᵢ	SUBR	,	“	oh	!”	","Then I said, ""Eke!""",~~~,ML ID,No comment,SGM 28,V:(Procliticaspect)	V:(MOOD) V:(DETR) V V Nom1	SUBR	punct	punct	INTJ	punct	,~~~ ~~~ Particle punct punct INTJ punct ,~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~			~~~		
3.11,ntu,"X rpimle kx , “ Nike tqyrkelvzq ?” ",x	r- pi -mq -=le	kx			nike	tq- yrke -lvz -=q		,"x	r- pi -mq -=le	kx	,	“	naeke	tq- yrke -lvz -=q	?”	","CONJ1	DETR say Pdir.hither -=3minᵢ	SUBR	,	“	what	RL exclaimed Udir.toward -=2minᵢ	?”	","And he said, ""What are you exclaiming about?""",~~~,ML ID,No comment,SGM 28,CONJ	V:(DETR) V V:(PDIR) Nom1	SUBR	punct	punct	interrog	V:(MOOD) V V:(UDIR) Nom1	punct	,CONJ V Particle punct punct interrog ~~~ punct ,~~~	~~~ ~~~ ~~~ ~~~	~~~			+fr. var. of	~~~ ~~~ ~~~ ~~~		
3.12,ntu,Rpibo kx tqyrkex murde nc nzlu kc tqyrplatrngr narm mrtupe . ,r- pi -bo	kx	tq- yrke -=x	murde	nc	nzlu	kc	tq- yrpla -tr -ngr	-=mq	mrtu -=pe		,r- pi -bo	kx	tq- yrke -=x	murde	nc	nzlu	kc	tq- yrpla -tr -ngr	-=mq	mrtu -=pe	.	,DETR say .bz(dir).=o(1min).=>..bo	SUBR	RL exclaimed -=1minᵢ	because	tree	coconut	which	RL bang Gdir.in APP	-=2minᵢᵢ*	fall -=INCH*	.	,I said that I exclaimed because the coconut tree fell over. ,~~~,ML ID,No comment,SGM 28,V:(DETR) V V:Any	SUBR	V:(MOOD) V Nom1	CONJ	N	N	RPRN	V:(MOOD) V V:(GDIR) V:(APP)	A-D-P2	V V	punct	,~~~ Particle ~~~ CONJ N N RPRN ~~~ ~~~ ~~~ punct ,~~~ ~~~ ~~~	~~~	~~~ ~~~ ~~~	~~~	~~~	~~~	~~~	~~~ ~~~ ~~~ ~~~	~~~	~~~ ~~~		
3.13,ntu,"A' rpimle bange kx , “ Krla tqmrtu-ngrde dzbrde mrvrtipe .” ",	r- pi -mq -=le	-=nge	kx			kr- la	tq- mrtu -ngr -=de	dzbr -=de	mrvr -ti -=pe		,"	r- pi -mq -=le	-=nge	kx	,	“	kr- la	tq- mrtu -ngr -=de	dzbr -=de	mrvr -ti -=pe	.”	","	DETR say Pdir.hither -=3minᵢ	-=1minᵢᵢ	SUBR	,	“	RPRN2 DEM1	RL fall APP -=3minᵢᵢ	root -=3minᵢᵢ	rotten TRNS -=INCH*	.”	","But he said to me, ""That thing it fell from its roots being rotten.""",~~~,ML ID,No comment,SGM 28,	V:(DETR) V V:(PDIR) Nom1	A-D-P2	SUBR	punct	punct	RelativePronoun DEM	V:(MOOD) V V:(APP) A-D-P2	N A-D-P2	V V:Any V	punct	,CONJ V A-D-P2 Particle punct punct DEM V ~~~ ~~~ punct ,	~~~ ~~~ ~~~ ~~~	~~~	~~~			~~~ ~~~	~~~ ~~~ ~~~ ~~~	~~~ ~~~	~~~ ~~~ ~~~		
4.1,ntu,Mz nibrde tewa kxetu kc tqvzpem . ,mz	nibr -=de	tewa	kx etu	kc	tq- vz -=pe -mq		,mz	nibr -=de	tewa	kx etu	kc	tq- vz -=pe -mq	.	,PREP	back.part -=3minᵢᵢ	rain	SUBR big	which	RL go -=INCH* Pdir.hither	.	,Afterward a big rain came. ,~~~,ML ID,No comment,SGM 28,PREP	N A-D-P2	V	SUBR V	RPRN	V:(MOOD) V V V:(PDIR)	punct	,PREP N V N.(kx.cl) RPRN V punct ,~~~	~~~ ~~~	~~~	~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~		
4.2,ntu,"Da kx kctitxpxx mz tewa lcde etu , opxm kx drvr-ngrgr kc abrelz kxetu . ",da	kx	kcti -tx -px -=x	mz	tewa	lcde	etu		opxm	kx	drvr -ngr -=gr	kc	abrelz	kx etu		,"da	kx	kcti -tx -px -=x	mz	tewa	lcde	etu	,	opxm	kx	drvr -ngr -=gr	kc	abrelz	kx etu	.	","thing	SUBR	marvel INTS;.very Gdir.out -=1minᵢ	PREP	rain	there	big	,	seems	SUBR	cover.from.rain APP -=1augᵢᵢ	which	umbrella	SUBR big	.	","What surprised me very much in that big rain, was it seemed that we were covered by a big umbrella. ",~~~,ML ID,No comment,SGM 28,N	SUBR	V V:(INTNS) V:(GDIR) Nom1	PREP	V	Adv	V	punct	~~~	SUBR	V V:(APP) A-D-P2	RPRN	N	SUBR V	punct	,N Particle ~~~ PREP V Adv V punct V Particle ~~~ RPRN N N.(kx.cl) punct ,~~~	~~~	~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~	~~~		~~~	~~~	~~~ ~~~ ~~~	~~~	~~~	~~~ ~~~		
4.3,ntu,"Murde mz trlipu r tewa kc etu tqtzle nigr , mrkc tqvz-ngrgr rlilrgr trkipokru tewa . ",murde	mz	trlipu	r	tewa	kc	etu	tq- tz -=le	nigr		mrkc	tq- vz -ngr -=gr	rlilr -=gr	tr- kipo -=kr -u	tewa		,"murde	mz	trlipu	ngr	tewa	kc	etu	tq- tz -=le	nigr	,	mrkc	tq- vz -ngr -=gr	rlilr -=gr	tr- kipo -=kr -u	tewa	.	","because	PREP	rain.storm	GEN1A	rain	which	big	RL beat -=3minᵢ	ACC.1augᵢᵢ	,	there	RL go APP -=1augᵢᵢ	both -=1augᵢᵢ	NEG wash;.bathe -=1augᵢ NEG	rain	.	","Because in the big rain storm which beat us, wherever the two of us went we did not get wet from the rain. ",~~~,ML ID,No comment,SGM 28,CONJ	PREP	V	GEN	V	RPRN	V	V:(MOOD) vt Nom1	A-D-P2	punct	Adv	V:(MOOD) V V:(APP) A-D-P2	pro A-D-P2	V:(NEG>) V Nom1 V:(<NEG)	V	punct	,CONJ PREP V GEN V RPRN V ~~~ Pers pro punct Adv ~~~ ~~~ ~~~ V punct ,~~~	~~~	~~~	+fr. var. of	~~~	~~~	~~~	~~~ ~~~ ~~~	~~~		~~~	~~~ ~~~ ~~~ ~~~	~~~ ~~~	~~~ ~~~ ~~~ ~~~	~~~		
4.4,ntu,Tewa lcde etutx zlwz x mz drtwr Kxetu r Pawa skul x doa kxnzskul trpengr nzvz-krbz Dckta~Foks mz nzamukxtr-krde nidr . ,tewa	lcde	etu -tx	zlwz	x	mz	drtwr	kxetu	r	Pawa	skul	x	doa	kx nz- skul	trpengr	nz- vz -kr -bz		mz	nz- a- mu kx tr -kr -=de	nidr		,tewa	lcde	etu -tx	zlwz	x	mz	drtwr	kxetu	ngr	Pawa	skul	x	doa	kx nz- skul	trpengr	nz- vz -kr -bz		mz	nz- a- mu kx tr -kr -=de	nidr	.	,"rain	there	big INTS;.very	very;.very,.much	CONJ1	PREP	mind	leader	GEN1A	Pawa.school	be.schooled	CONJ1	child	SUBR nmlz be.schooled	not.any	nmlz go nmlz.poss Pdir.thither		PREP	nmlz CAUS eat SUBR holy nmlz.poss -=3minᵢᵢ	ACC.3augᵢᵢ	.	",That rain was really big (heavy) and in the thinking of the headmaster of Pawa School and the school children Doctor Fox would never come to celebrate them communion. ,~~~,ML ID,No comment,SGM 28,V	Adv	V V:(INTNS)	Adv	CONJ	PREP	N	N(kxcl)	GEN	N	V	CONJ	N	SUBR V>N V	<NotSure>	V>N V V>N V:(PDIR)		PREP	V>N V:Any V SUBR V V>N A-D-P2	A-D-P2	punct	,V Adv ~~~ Adv CONJ PREP N N.(kx.cl) GEN ~~~ V CONJ N ~~~ V ~~~ ~~~ PREP ~~~ Pers pro punct ,~~~	~~~	~~~ ~~~	~~~	~~~	~~~	~~~	~~~	+fr. var. of	~~~	~~~	~~~	~~~	~~~ ~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~		~~~	~~~ ~~~ ~~~ ~~~ ~~~ ~~~ ~~~	~~~		
4.5,ntu,Kx tqvzbzkr kc nrlc sikapu txpwz mz bq r tewa . ,kx	tq- vz -bz -=kr	kc	nrlc	sikapu	txpwz	mz	bq	r	tewa		,kx	tq- vz -bz -=kr	kc	nrlc	sikapu	txpwz	mz	bq	ngr	tewa	.	,SUBR	RL go Pdir.thither -=1augᵢ	which	place	smoke	only	PREP	ashes	GEN1A	rain	.	,When we went along it was smoky from the mist (ashes) of the rain. ,~~~,ML ID,No comment,SGM 28,SUBR	V:(MOOD) V V:(PDIR) Nom1	RPRN	N	V	Adv	PREP	N	GEN	V	punct	,Particle ~~~ RPRN N V Adv PREP N GEN V punct ,~~~	~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~	~~~	~~~	~~~	+fr. var. of	~~~		
4.6,ntu,"Kx mcpxmle nigr kxetu rdr pripekt nzvz-krbzkr mz tewa kc etu , mz drtwrde kipopekr mz tewa . ",kx	mc -px -mq -=le	nigr	kxetu	r -=dr	pripekt	nz- vz -kr -bz -=kr	mz	tewa	kc	etu		mz	drtwr -=de	kipo -=pe -=kr	mz	tewa		,"kx	mc -px -mq -=le	nigr	kxetu	ngr -=dr	pripekt	nz- vz -kr -bz -=kr	mz	tewa	kc	etu	,	mz	drtwr -=de	kipo -=pe -=kr	mz	tewa	.	","SUBR	see Gdir.out Pdir.hither -=3minᵢ	ACC.1augᵢᵢ	leader	GEN1A -=3augᵢᵢ	prefect	nmlz go nmlz.poss Pdir.thither -=1augᵢ	PREP	rain	which	big	,	PREP	mind -=3minᵢᵢ	get.wet -=INCH* -=1augᵢ	PREP	rain	.	","When he saw us their bigman prefect our coming in the big rain, in his thinking we got wet in the rain. ",~~~,ML ID,No comment,SGM 28,SUBR	V V:(GDIR) V:(PDIR) Nom1	A-D-P2	N(kxcl)	GEN A-D-P2	N	V>N V V>N V:(PDIR) Nom1	PREP	V	RPRN	V	punct	PREP	N A-D-P2	V V Nom1	PREP	V	punct	,Particle ~~~ Pers pro N.(kx.cl) ~~~ N ~~~ PREP V RPRN V punct PREP ~~~ ~~~ PREP V punct ,~~~	~~~ ~~~ ~~~ ~~~	~~~	~~~	+fr. var. of ~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~	~~~		~~~	~~~ ~~~	~~~ ~~~ ~~~	~~~	~~~		
4.7,ntu,Drvrminemle taol li kx naamingr-ngrgr drtqgr . ,drvr -mi -ne -mq -=le	taol	li	kx	na- a- mingr -ngr -=gr	drtq -=gr		,drvr -mi -ne -mq -=le	taol	li	kx	na- a- mingr -ngr -=gr	drtq -=gr	.	,cover.from.rain COM intensifier Pdir.hither -=3minᵢ	towel	two	SUBR	IRR CAUS dry APP -=1augᵢᵢ	body -=1augᵢᵢ	.	,He came covering from the rain with two towels that we might dry our bodies. ,~~~,ML ID,No comment,SGM 28,V V:(COMA) V:Any V:(PDIR) Nom1	N	NUM	SUBR	V:(MOOD) V:Any V V:(APP) A-D-P2	N A-D-P2	punct	,~~~ N NUM Particle ~~~ ~~~ punct ,~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~ ~~~		
4.8,ntu,"A' rpibz Dckta kx , “ Drtqgr amingrpekr taol scgr .” ",	r- pi -bz	dckta	kx			drtq -=gr	a- mingr -=pe -=kr	taol	sc -=gr		,"	r- pi -bz	dckta	kx	,	“	drtq -=gr	a- mingr -=pe -=kr	taol	sc -=gr	.”	","	DETR say Pdir.thither	doctor	SUBR	,	“	body -=1augᵢᵢ	CAUS dry -=INCH* -=1augᵢ	towel	PCLF1 -=1augᵢᵢ	.”	","But Doctor (Fox) said, ""Our bodies are already dry from our towels."" ",~~~,ML ID,No comment,SGM 28,	V:(DETR) V V:(PDIR)	N	SUBR	punct	punct	N A-D-P2	V:Any V V Nom1	N	PCLF A-D-P2	punct	,CONJ V N Particle punct punct ~~~ ~~~ N Poss pro punct ,	~~~ ~~~ ~~~	~~~	~~~			~~~ ~~~	~~~ ~~~ ~~~ ~~~	~~~	~~~ ~~~		
5.1,ntu,Pripekt kc sc tqoliqtipebzle olta x tqayrnipe belo . ,pripekt	kc	sc-	tq- oliq -ti -=pe -bz -=le	olta	x	tq- a- yrni -=pe	belo		,pripekt	kc	sc-	tq- oliq -ti -=pe -bz -=le	olta	x	tq- a- yrni -=pe	belo	.	,prefect	that	PFV	RL prepare TRNS -=INCH* Pdir.thither -=3minᵢ	altar	CONJ1	RL CAUS cry -=INCH*	bell	.	,The prefect prepared the altar and rang the bell. ,~~~,ML ID,No comment,SGM 28,N	Det	V:(Procliticaspect)	V:(MOOD) V V:Any V V:(PDIR) Nom1	N	CONJ	V:(MOOD) V:Any V V	N	punct	,N RPRN ~~~ ~~~ N CONJ ~~~ N punct ,~~~	~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~ ~~~ ~~~ ~~~	~~~		
5.2,ntu,"Dckta amukxtrtx , yrkrpxbz x sc tzvzpeng mz Dikon Hill ma nyzde mz nzmu-krdr . ",dckta	a- mu kx tr -tx		yrkr -px -bz -=	x	sc-	tz- -=pe -=ng	mz	dikon		ma	nyz -=de	mz	nz- mu -kr -=dr		,"dckta	a- mu kx tr -tx	,	yrkr -px -bz -=Ø	x	sc-	tz- -=pe -=ngq	mz	dikon		ma	nyz -=de	mz	nz- mu -kr -=dr	.	","doctor	CAUS eat SUBR holy INTS;.very	,	finish Gdir.out Pdir.thither -=3minᵢ	CONJ1	PFV	RL+3aug -=INCH* -=3augᵢ	PREP	deacon		house	PCLF8 -=3minᵢᵢ	PREP	nmlz eat nmlz.poss -=3augᵢᵢ	.	","Doctor celebrated holy communion, he/it finished and they went to Decon Hill's house to eat. ",~~~,ML ID,No comment,SGM 28,N	V:Any V SUBR V V:(INTNS)	punct	V V:(GDIR) V:(PDIR) Nom1	CONJ	V:(Procliticaspect)	V:(MOOD) V Nom1	PREP	N		N	PCLF A-D-P2	PREP	V>N V V>N A-D-P2	punct	,N ~~~ punct V CONJ ~~~ ~~~ PREP N ~~~ N ~~~ PREP ~~~ punct ,~~~	~~~ ~~~ ~~~ ~~~ ~~~		~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~ ~~~ +fr. var. of	~~~	~~~		~~~	~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~		
